Итерация | Точка (x, y) | Дельта | Значение функции | Размер шага
1 | (0, 0) | 1.22812 | -6.37157 | 0.340618
2 | (0.681236, -1.02185) | 0.234285 | -6.42613 | 0.471279
3 | (0.486079, -1.15148) | 0.0781041 | -6.43606 | 0.308689
4 | (0.529203, -1.2166) | 0.0371731 | -6.43731 | 0.54596
5 | (0.498209, -1.23713) | 0.0102337 | -6.43748 | 0.309845
6 | (0.50386, -1.24566) | 0.00490142 | -6.4375 | 0.561153
7 | (0.499773, -1.24837) | 0.00130015 | -6.4375 | 0.310003
8 | (0.500491, -1.24945) | 0.000623199 | -6.4375 | 0.563243
9 | (0.499971, -1.24979) | 0.000164474 | -6.4375 | 0.310024
10 | (0.500062, -1.24993) | 7.88451e-05 | -6.4375 | 0.56351
11 | (0.499996, -1.24997) | 2.07953e-05 | -6.4375 | 0.310026
12 | (0.500008, -1.24999) | 9.96889e-06 | -6.4375 | 0.563544
13 | (0.5, -1.25) | 2.62908e-06 | -6.4375 | 0.310027
14 | (0.500001, -1.25) | 1.25882e-06 | -6.4375 | 0.562869
15 | (0.5, -1.25) | 3.32844e-07 | -6.4375 | 0.310826
16 | (0.5, -1.25) | 1.71753e-07 | -6.4375 | 0.604034
17 | (0.5, -1.25) | 3.97781e-08 | -6.4375 | 0.265907
18 | (0.5, -1.25) | 2.74402e-08 | -6.4375 | 1
19 | (0.5, -1.25) | 1.7563e-08 | -6.4375 | 1
20 | (0.5, -1.25) | 1.15235e-08 | -6.4375 | 0.307292
21 | (0.5, -1.25) | 4.74119e-09 | -6.4375 | 1
22 | (0.5, -1.25) | 1.09491e-08 | -6.4375 | 1
23 | (0.5, -1.25) | 2.85779e-08 | -6.4375 | 1
24 | (0.5, -1.25) | 1.89179e-08 | -6.4375 | 0.252868
25 | (0.5, -1.25) | 6.36825e-09 | -6.4375 | 1
